tm,ta
2022-01-15 00:00:00,-3.0
2022-01-15 01:00:00,-2.7
2022-01-15 02:00:00,-2.7
2022-01-15 03:00:00,-3.4
2022-01-15 04:00:00,-3.2
2022-01-15 05:00:00,-3.2
2022-01-15 06:00:00,-3.2
2022-01-15 07:00:00,-3.4
2022-01-15 08:00:00,-3.1
2022-01-15 09:00:00,-1.4
2022-01-15 10:00:00,2.0
2022-01-15 11:00:00,5.1
2022-01-15 12:00:00,7.5
2022-01-15 13:00:00,9.1
2022-01-15 14:00:00,8.9
2022-01-15 15:00:00,9.1
2022-01-15 16:00:00,7.9
2022-01-15 17:00:00,7.9
2022-01-15 18:00:00,6.2
2022-01-15 19:00:00,1.2
2022-01-15 20:00:00,0.0
2022-01-15 21:00:00,0.7
2022-01-15 22:00:00,-0.9
2022-01-15 23:00:00,-1.3
2022-01-16 00:00:00,-0.8
2022-01-16 01:00:00,0.0
2022-01-16 02:00:00,-0.4
2022-01-16 03:00:00,-2.4
2022-01-16 04:00:00,-1.7
2022-01-16 05:00:00,-1.8
2022-01-16 06:00:00,-0.9
2022-01-16 07:00:00,0.4
2022-01-16 08:00:00,3.2
2022-01-16 09:00:00,4.9
2022-01-16 10:00:00,5.4
2022-01-16 11:00:00,5.0
2022-01-16 12:00:00,4.1
2022-01-16 13:00:00,5.2
2022-01-16 14:00:00,3.9
2022-01-16 15:00:00,3.8
2022-01-16 16:00:00,3.0
2022-01-16 17:00:00,1.9
2022-01-16 18:00:00,0.9
2022-01-16 19:00:00,0.3
2022-01-16 20:00:00,-0.3
2022-01-16 21:00:00,-0.4
2022-01-16 22:00:00,-0.5
2022-01-16 23:00:00,-0.9
2022-01-17 00:00:00,-1.2
2022-01-17 01:00:00,-1.0
2022-01-17 02:00:00,-1.0
2022-01-17 03:00:00,-1.1
2022-01-17 04:00:00,-1.5
2022-01-17 05:00:00,-1.8
2022-01-17 06:00:00,-2.2
2022-01-17 07:00:00,-2.7
2022-01-17 08:00:00,-3.3
2022-01-17 09:00:00,-1.7
2022-01-17 10:00:00,0.2
2022-01-17 11:00:00,1.9
2022-01-17 12:00:00,2.8
2022-01-17 13:00:00,3.4
2022-01-17 14:00:00,4.2
2022-01-17 15:00:00,3.7
2022-01-17 16:00:00,3.2
2022-01-17 17:00:00,3.3
2022-01-17 18:00:00,3.5
2022-01-17 19:00:00,3.6
2022-01-17 20:00:00,3.2
2022-01-17 21:00:00,2.5
2022-01-17 22:00:00,2.0
2022-01-17 23:00:00,1.5
